country,Year,obs_value,indicator,sex,GDP per capita (constant 2015 US$),GNI (current US$),"Population, total","Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Birth rate, crude (per 1,000 people)","Inflation, consumer prices (annual %)",Military expenditure (% of GDP)
Belize,2015,72.7,Egg and/or flesh foods consumption (6-23months),Female,6154.495935,2097584100.0,356333.0,0.96,73.187,21.709,-0.861584009,0.892029622
Belize,2015,72.5,Egg and/or flesh foods consumption (6-23months),Male,6154.495935,2097584100.0,356333.0,0.96,73.187,21.709,-0.861584009,0.892029622
Belize,2015,72.6,Egg and/or flesh foods consumption (6-23months),Total,6154.495935,2097584100.0,356333.0,0.96,73.187,21.709,-0.861584009,0.892029622
Benin,2012,37.6,Egg and/or flesh foods consumption (6-23months),Female,943.9187716,11074623453.15,10397657.0,0.48,58.716,39.122,6.744682533,0.702056158
Benin,2014,52.3,Egg and/or flesh foods consumption (6-23months),Female,1014.433006,13223585565.1,11030004.0,0.46,59.125,39.192,-0.548757551,0.700924949
Benin,2018,52.6,Egg and/or flesh foods consumption (6-23months),Female,1071.504522,14207330367.82,12383347.0,0.46,60.14,38.186,0.919170718,0.63285754
Benin,2021,47.0,Egg and/or flesh foods consumption (6-23months),Female,1176.377276,17500751811.65,13413417.0,0.45,59.821,36.608,1.733539627,0.550883649
Benin,2012,40.9,Egg and/or flesh foods consumption (6-23months),Male,943.9187716,11074623453.15,10397657.0,0.48,58.716,39.122,6.744682533,0.702056158
Benin,2014,54.3,Egg and/or flesh foods consumption (6-23months),Male,1014.433006,13223585565.1,11030004.0,0.46,59.125,39.192,-0.548757551,0.700924949
Benin,2018,51.3,Egg and/or flesh foods consumption (6-23months),Male,1071.504522,14207330367.82,12383347.0,0.46,60.14,38.186,0.919170718,0.63285754
Benin,2021,47.2,Egg and/or flesh foods consumption (6-23months),Male,1176.377276,17500751811.65,13413417.0,0.45,59.821,36.608,1.733539627,0.550883649
Benin,2012,39.3,Egg and/or flesh foods consumption (6-23months),Total,943.9187716,11074623453.15,10397657.0,0.48,58.716,39.122,6.744682533,0.702056158
Benin,2014,53.3,Egg and/or flesh foods consumption (6-23months),Total,1014.433006,13223585565.1,11030004.0,0.46,59.125,39.192,-0.548757551,0.700924949
Benin,2018,51.9,Egg and/or flesh foods consumption (6-23months),Total,1071.504522,14207330367.82,12383347.0,0.46,60.14,38.186,0.919170718,0.63285754
Benin,2021,47.1,Egg and/or flesh foods consumption (6-23months),Total,1176.377276,17500751811.65,13413417.0,0.45,59.821,36.608,1.733539627,0.550883649
Bhutan,2015,30.5,Egg and/or flesh foods consumption (6-23months),Female,2954.04082,2045040204.15,740618.0,1.72,70.343,17.152,4.548143951,
Bhutan,2015,20.0,Egg and/or flesh foods consumption (6-23months),Male,2954.04082,2045040204.15,740618.0,1.72,70.343,17.152,4.548143951,
Bhutan,2015,25.2,Egg and/or flesh foods consumption (6-23months),Total,2954.04082,2045040204.15,740618.0,1.72,70.343,17.152,4.548143951,
"Bolivia, Plurinational State of",2008,81.1,Egg and/or flesh foods consumption (6-23months),Female,2383.250323,16137900474.43,9850858.0,1.08,65.446,26.546,14.00681077,2.193951609
"Bolivia, Plurinational State of",2016,88.3,Egg and/or flesh foods consumption (6-23months),Female,3077.570575,33320230252.16,11180020.0,1.22,67.628,23.355,3.623214318,1.530467849
"Bolivia, Plurinational State of",2008,80.5,Egg and/or flesh foods consumption (6-23months),Male,2383.250323,16137900474.43,9850858.0,1.08,65.446,26.546,14.00681077,2.193951609
"Bolivia, Plurinational State of",2016,83.0,Egg and/or flesh foods consumption (6-23months),Male,3077.570575,33320230252.16,11180020.0,1.22,67.628,23.355,3.623214318,1.530467849
"Bolivia, Plurinational State of",2008,80.8,Egg and/or flesh foods consumption (6-23months),Total,2383.250323,16137900474.43,9850858.0,1.08,65.446,26.546,14.00681077,2.193951609
"Bolivia, Plurinational State of",2016,85.6,Egg and/or flesh foods consumption (6-23months),Total,3077.570575,33320230252.16,11180020.0,1.22,67.628,23.355,3.623214318,1.530467849
Brazil,2019,71.8,Egg and/or flesh foods consumption (6-23months),Female,8771.440513,1822994396029.28,207455459.0,2.24,75.338,13.633,3.732976212,1.382797246
Brazil,2019,71.1,Egg and/or flesh foods consumption (6-23months),Male,8771.440513,1822994396029.28,207455459.0,2.24,75.338,13.633,3.732976212,1.382797246
Brazil,2019,71.4,Egg and/or flesh foods consumption (6-23months),Total,8771.440513,1822994396029.28,207455459.0,2.24,75.338,13.633,3.732976212,1.382797246
Burkina Faso,2010,23.2,Egg and/or flesh foods consumption (6-23months),Female,561.8472213,9807542782.09,16176498.0,0.4,56.477,43.206,-0.764230735,1.224785993
Burkina Faso,2019,28.5,Egg and/or flesh foods consumption (6-23months),Female,717.0215951,15326465624.91,20961952.0,,60.039,36.689,-3.23338934,2.212552085
Burkina Faso,2020,19.9,Egg and/or flesh foods consumption (6-23months),Female,713.8421779,17105876297.32,21478690.0,0.2,59.731,36.085,1.884439938,2.132018076
Burkina Faso,2021,32.1,Egg and/or flesh foods consumption (6-23months),Female,745.4725634,18774177401.46,21995243.0,,59.27,35.541,3.653532872,2.322656672
Burkina Faso,2010,21.9,Egg and/or flesh foods consumption (6-23months),Male,561.8472213,9807542782.09,16176498.0,0.4,56.477,43.206,-0.764230735,1.224785993
Burkina Faso,2019,28.9,Egg and/or flesh foods consumption (6-23months),Male,717.0215951,15326465624.91,20961952.0,,60.039,36.689,-3.23338934,2.212552085
Burkina Faso,2020,17.6,Egg and/or flesh foods consumption (6-23months),Male,713.8421779,17105876297.32,21478690.0,0.2,59.731,36.085,1.884439938,2.132018076
Burkina Faso,2021,30.6,Egg and/or flesh foods consumption (6-23months),Male,745.4725634,18774177401.46,21995243.0,,59.27,35.541,3.653532872,2.322656672
Burkina Faso,2010,22.6,Egg and/or flesh foods consumption (6-23months),Total,561.8472213,9807542782.09,16176498.0,0.4,56.477,43.206,-0.764230735,1.224785993
Burkina Faso,2019,28.7,Egg and/or flesh foods consumption (6-23months),Total,717.0215951,15326465624.91,20961952.0,,60.039,36.689,-3.23338934,2.212552085
Burkina Faso,2020,18.7,Egg and/or flesh foods consumption (6-23months),Total,713.8421779,17105876297.32,21478690.0,0.2,59.731,36.085,1.884439938,2.132018076
Burkina Faso,2021,31.3,Egg and/or flesh foods consumption (6-23months),Total,745.4725634,18774177401.46,21995243.0,,59.27,35.541,3.653532872,2.322656672
Burundi,2010,28.6,Egg and/or flesh foods consumption (6-23months),Female,289.8569506,2021267251.23,9376444.0,,57.081,46.691,6.493265915,
Burundi,2016,23.8,Egg and/or flesh foods consumption (6-23months),Female,274.5133634,2643216720.51,11239451.0,,60.793,39.479,5.557689614,2.243163864
Burundi,2010,28.6,Egg and/or flesh foods consumption (6-23months),Male,289.8569506,2021267251.23,9376444.0,,57.081,46.691,6.493265915,
Burundi,2016,25.9,Egg and/or flesh foods consumption (6-23months),Male,274.5133634,2643216720.51,11239451.0,,60.793,39.479,5.557689614,2.243163864
Burundi,2010,28.6,Egg and/or flesh foods consumption (6-23months),Total,289.8569506,2021267251.23,9376444.0,,57.081,46.691,6.493265915,
Burundi,2016,24.9,Egg and/or flesh foods consumption (6-23months),Total,274.5133634,2643216720.51,11239451.0,,60.793,39.479,5.557689614,2.243163864
Cambodia,2005,80.4,Egg and/or flesh foods consumption (6-23months),Female,866.3402901,6778969374.1,13439202.0,0.6,64.293,25.191,6.61525912,1.127579071
Cambodia,2010,81.4,Egg and/or flesh foods consumption (6-23months),Female,1155.852369,13409374659.08,14500726.0,0.81,67.712,23.669,3.996395281,1.493096881
Cambodia,2014,81.1,Egg and/or flesh foods consumption (6-23months),Female,1464.531159,21110279792.7,15396772.0,,69.736,22.775,3.855688614,1.656794879
Cambodia,2021,82.3,Egg and/or flesh foods consumption (6-23months),Female,1938.764367,35300301362.12,16974305.0,,69.584,19.334,2.920734776,2.321957136
Cambodia,2005,81.1,Egg and/or flesh foods consumption (6-23months),Male,866.3402901,6778969374.1,13439202.0,0.6,64.293,25.191,6.61525912,1.127579071
Cambodia,2010,80.8,Egg and/or flesh foods consumption (6-23months),Male,1155.852369,13409374659.08,14500726.0,0.81,67.712,23.669,3.996395281,1.493096881
Cambodia,2014,82.3,Egg and/or flesh foods consumption (6-23months),Male,1464.531159,21110279792.7,15396772.0,,69.736,22.775,3.855688614,1.656794879
Cambodia,2021,83.5,Egg and/or flesh foods consumption (6-23months),Male,1938.764367,35300301362.12,16974305.0,,69.584,19.334,2.920734776,2.321957136
Cambodia,2005,80.7,Egg and/or flesh foods consumption (6-23months),Total,866.3402901,6778969374.1,13439202.0,0.6,64.293,25.191,6.61525912,1.127579071
Cambodia,2010,81.0,Egg and/or flesh foods consumption (6-23months),Total,1155.852369,13409374659.08,14500726.0,0.81,67.712,23.669,3.996395281,1.493096881
Cambodia,2014,81.7,Egg and/or flesh foods consumption (6-23months),Total,1464.531159,21110279792.7,15396772.0,,69.736,22.775,3.855688614,1.656794879
Cambodia,2021,82.9,Egg and/or flesh foods consumption (6-23months),Total,1938.764367,35300301362.12,16974305.0,,69.584,19.334,2.920734776,2.321957136
Cameroon,2011,60.9,Egg and/or flesh foods consumption (6-23months),Female,1297.306496,30327885739.02,20232304.0,,57.133,39.368,2.939699463,1.135888892
Cameroon,2014,64.1,Egg and/or flesh foods consumption (6-23months),Female,1381.819385,35703010549.74,22059893.0,,58.935,37.818,1.854898504,1.104979623
Cameroon,2018,56.2,Egg and/or flesh foods consumption (6-23months),Female,1461.0197,39216305348.05,24806383.0,,61.18,36.716,1.068858113,1.076009818
Cameroon,2011,61.6,Egg and/or flesh foods consumption (6-23months),Male,1297.306496,30327885739.02,20232304.0,,57.133,39.368,2.939699463,1.135888892
Cameroon,2014,64.2,Egg and/or flesh foods consumption (6-23months),Male,1381.819385,35703010549.74,22059893.0,,58.935,37.818,1.854898504,1.104979623
Cameroon,2018,54.9,Egg and/or flesh foods consumption (6-23months),Male,1461.0197,39216305348.05,24806383.0,,61.18,36.716,1.068858113,1.076009818
Cameroon,2011,61.2,Egg and/or flesh foods consumption (6-23months),Total,1297.306496,30327885739.02,20232304.0,,57.133,39.368,2.939699463,1.135888892
Cameroon,2014,64.1,Egg and/or flesh foods consumption (6-23months),Total,1381.819385,35703010549.74,22059893.0,,58.935,37.818,1.854898504,1.104979623
Cameroon,2018,55.5,Egg and/or flesh foods consumption (6-23months),Total,1461.0197,39216305348.05,24806383.0,,61.18,36.716,1.068858113,1.076009818
Central African Republic,2010,38.8,Egg and/or flesh foods consumption (6-23months),Female,519.1414564,2152234866.46,4492995.0,,49.255,43.237,1.4910237,2.409960175
Central African Republic,2010,37.7,Egg and/or flesh foods consumption (6-23months),Male,519.1414564,2152234866.46,4492995.0,,49.255,43.237,1.4910237,2.409960175
Central African Republic,2010,38.2,Egg and/or flesh foods consumption (6-23months),Total,519.1414564,2152234866.46,4492995.0,,49.255,43.237,1.4910237,2.409960175
Chad,2015,37.0,Egg and/or flesh foods consumption (6-23months),Female,747.5884485,10618477308.95,14647621.0,0.49,51.589,46.367,4.377126651,2.018822781
Chad,2019-08,30.5,Egg and/or flesh foods consumption (6-23months),Female,,,,,,,,
Chad,2019-09,45.1,Egg and/or flesh foods consumption (6-23months),Female,,,,,,,,
Chad,2020,31.1,Egg and/or flesh foods consumption (6-23months),Female,601.325556,10561570203.57,17224679.0,,52.777,43.849,4.464144372,3.005164419
Chad,2022,64.8,Egg and/or flesh foods consumption (6-23months),Female,570.2209026,12212890617.63,18455316.0,,52.997,43.184,5.788026878,2.748179613
Chad,2015,34.5,Egg and/or flesh foods consumption (6-23months),Male,747.5884485,10618477308.95,14647621.0,0.49,51.589,46.367,4.377126651,2.018822781
Chad,2019-08,29.2,Egg and/or flesh foods consumption (6-23months),Male,,,,,,,,
Chad,2019-09,46.0,Egg and/or flesh foods consumption (6-23months),Male,,,,,,,,
Chad,2020,30.4,Egg and/or flesh foods consumption (6-23months),Male,601.325556,10561570203.57,17224679.0,,52.777,43.849,4.464144372,3.005164419
Chad,2022,63.1,Egg and/or flesh foods consumption (6-23months),Male,570.2209026,12212890617.63,18455316.0,,52.997,43.184,5.788026878,2.748179613
Chad,2015,35.7,Egg and/or flesh foods consumption (6-23months),Total,747.5884485,10618477308.95,14647621.0,0.49,51.589,46.367,4.377126651,2.018822781
Chad,2019-08,29.8,Egg and/or flesh foods consumption (6-23months),Total,,,,,,,,
Chad,2019-09,45.6,Egg and/or flesh foods consumption (6-23months),Total,,,,,,,,
Chad,2020,30.8,Egg and/or flesh foods consumption (6-23months),Total,601.325556,10561570203.57,17224679.0,,52.777,43.849,4.464144372,3.005164419
Chad,2022,64.0,Egg and/or flesh foods consumption (6-23months),Total,570.2209026,12212890617.63,18455316.0,,52.997,43.184,5.788026878,2.748179613
China,2013,69.9,Egg and/or flesh foods consumption (6-23months),Female,7056.423092,9492643372933.55,1363240000.0,3.33,76.452,13.03,2.621050017,1.714340923
China,2017,77.3,Egg and/or flesh foods consumption (6-23months),Female,9053.228725,12294360421956.4,1396215000.0,4.34,77.248,12.64,1.593136001,1.711242644
China,2013,70.8,Egg and/or flesh foods consumption (6-23months),Male,7056.423092,9492643372933.55,1363240000.0,3.33,76.452,13.03,2.621050017,1.714340923
China,2017,75.8,Egg and/or flesh foods consumption (6-23months),Male,9053.228725,12294360421956.4,1396215000.0,4.34,77.248,12.64,1.593136001,1.711242644
China,2013,70.4,Egg and/or flesh foods consumption (6-23months),Total,7056.423092,9492643372933.55,1363240000.0,3.33,76.452,13.03,2.621050017,1.714340923
China,2017,76.4,Egg and/or flesh foods consumption (6-23months),Total,9053.228725,12294360421956.4,1396215000.0,4.34,77.248,12.64,1.593136001,1.711242644
Colombia,2010,83.8,Egg and/or flesh foods consumption (6-23months),Female,5214.245476,276539068640.16,44777319.0,1.51,75.033,16.909,2.272002279,3.636915046
Colombia,2016,80.6,Egg and/or flesh foods consumption (6-23months),Female,6316.070678,279593356364.69,47437512.0,1.71,76.471,15.353,7.513460246,3.071131026
Colombia,2010,81.3,Egg and/or flesh foods consumption (6-23months),Male,5214.245476,276539068640.16,44777319.0,1.51,75.033,16.909,2.272002279,3.636915046
Colombia,2016,81.5,Egg and/or flesh foods consumption (6-23months),Male,6316.070678,279593356364.69,47437512.0,1.71,76.471,15.353,7.513460246,3.071131026
Colombia,2010,82.5,Egg and/or flesh foods consumption (6-23months),Total,5214.245476,276539068640.16,44777319.0,1.51,75.033,16.909,2.272002279,3.636915046
Colombia,2016,81.0,Egg and/or flesh foods consumption (6-23months),Total,6316.070678,279593356364.69,47437512.0,1.71,76.471,15.353,7.513460246,3.071131026
Comoros,2012,61.4,Egg and/or flesh foods consumption (6-23months),Female,1313.581948,1014150823.3,681630.0,,61.834,33.408,6.314744503,
Comoros,2012,57.9,Egg and/or flesh foods consumption (6-23months),Male,1313.581948,1014150823.3,681630.0,,61.834,33.408,6.314744503,
Comoros,2012,59.6,Egg and/or flesh foods consumption (6-23months),Total,1313.581948,1014150823.3,681630.0,,61.834,33.408,6.314744503,
Congo,2011,65.1,Egg and/or flesh foods consumption (6-23months),Female,2307.493844,14089660178.66,4609724.0,,61.992,38.232,1.759587043,
Congo,2014,44.9,Egg and/or flesh foods consumption (6-23months),Female,2488.681185,18182185023.76,4975880.0,,62.95,35.527,0.912139545,3.940357267
Congo,2011,64.6,Egg and/or flesh foods consumption (6-23months),Male,2307.493844,14089660178.66,4609724.0,,61.992,38.232,1.759587043,
Congo,2014,50.8,Egg and/or flesh foods consumption (6-23months),Male,2488.681185,18182185023.76,4975880.0,,62.95,35.527,0.912139545,3.940357267
Congo,2011,64.9,Egg and/or flesh foods consumption (6-23months),Total,2307.493844,14089660178.66,4609724.0,,61.992,38.232,1.759587043,
Congo,2014,47.9,Egg and/or flesh foods consumption (6-23months),Total,2488.681185,18182185023.76,4975880.0,,62.95,35.527,0.912139545,3.940357267
Costa Rica,2018,82.8,Egg and/or flesh foods consumption (6-23months),Female,12679.52536,59042419843.98,4957818.0,1.11,79.484,13.562,2.221114615,
Costa Rica,2018,78.5,Egg and/or flesh foods consumption (6-23months),Male,12679.52536,59042419843.98,4957818.0,1.11,79.484,13.562,2.221114615,
Costa Rica,2018,80.7,Egg and/or flesh foods consumption (6-23months),Total,12679.52536,59042419843.98,4957818.0,1.11,79.484,13.562,2.221114615,
Cuba,2014,88.2,Egg and/or flesh foods consumption (6-23months),Female,7392.483246,79602100000.0,11285775.0,4.01,77.853,10.86,,3.536004761
Cuba,2019,82.9,Egg and/or flesh foods consumption (6-23months),Female,8124.752821,101873800000.0,11202846.0,4.17,77.611,9.752,,
Cuba,2014,85.0,Egg and/or flesh foods consumption (6-23months),Male,7392.483246,79602100000.0,11285775.0,4.01,77.853,10.86,,3.536004761
Cuba,2019,82.4,Egg and/or flesh foods consumption (6-23months),Male,8124.752821,101873800000.0,11202846.0,4.17,77.611,9.752,,
Cuba,2014,86.5,Egg and/or flesh foods consumption (6-23months),Total,7392.483246,79602100000.0,11285775.0,4.01,77.853,10.86,,3.536004761
Cuba,2019,82.6,Egg and/or flesh foods consumption (6-23months),Total,8124.752821,101873800000.0,11202846.0,4.17,77.611,9.752,,
Ivory Coast,2012,57.2,Egg and/or flesh foods consumption (6-23months),Female,1503.43433,25926659727.41,23467078.0,,56.158,37.742,1.304511199,1.100663875
Ivory Coast,2016,60.2,Egg and/or flesh foods consumption (6-23months),Female,1889.277779,47331529982.55,25989405.0,,58.06,35.959,0.723178458,1.257379624
Ivory Coast,2021,58.4,Egg and/or flesh foods consumption (6-23months),Female,2146.476353,70557249154.88,29639736.0,,58.598,33.934,4.091951897,0.910633113
Ivory Coast,2012,55.8,Egg and/or flesh foods consumption (6-23months),Male,1503.43433,25926659727.41,23467078.0,,56.158,37.742,1.304511199,1.100663875
Ivory Coast,2016,63.9,Egg and/or flesh foods consumption (6-23months),Male,1889.277779,47331529982.55,25989405.0,,58.06,35.959,0.723178458,1.257379624
Ivory Coast,2021,56.4,Egg and/or flesh foods consumption (6-23months),Male,2146.476353,70557249154.88,29639736.0,,58.598,33.934,4.091951897,0.910633113
Ivory Coast,2012,56.5,Egg and/or flesh foods consumption (6-23months),Total,1503.43433,25926659727.41,23467078.0,,56.158,37.742,1.304511199,1.100663875
Ivory Coast,2016,62.0,Egg and/or flesh foods consumption (6-23months),Total,1889.277779,47331529982.55,25989405.0,,58.06,35.959,0.723178458,1.257379624
Ivory Coast,2021,57.4,Egg and/or flesh foods consumption (6-23months),Total,2146.476353,70557249154.88,29639736.0,,58.598,33.934,4.091951897,0.910633113
"Congo, the Democratic Republic of the",2013,52.5,Egg and/or flesh foods consumption (6-23months),Female,427.4585204,29868626861.78,75789395.0,,57.762,44.229,0.808223101,1.146177977
"Congo, the Democratic Republic of the",2017,46.8,Egg and/or flesh foods consumption (6-23months),Female,462.4829209,36945658210.5,87083398.0,,59.411,43.251,,0.770467136
"Congo, the Democratic Republic of the",2013,51.4,Egg and/or flesh foods consumption (6-23months),Male,427.4585204,29868626861.78,75789395.0,,57.762,44.229,0.808223101,1.146177977
"Congo, the Democratic Republic of the",2017,47.0,Egg and/or flesh foods consumption (6-23months),Male,462.4829209,36945658210.5,87083398.0,,59.411,43.251,,0.770467136
"Congo, the Democratic Republic of the",2013,52.0,Egg and/or flesh foods consumption (6-23months),Total,427.4585204,29868626861.78,75789395.0,,57.762,44.229,0.808223101,1.146177977
"Congo, the Democratic Republic of the",2017,46.9,Egg and/or flesh foods consumption (6-23months),Total,462.4829209,36945658210.5,87083398.0,,59.411,43.251,,0.770467136
Dominican Republic,2007,73.2,Egg and/or flesh foods consumption (6-23months),Female,5243.057076,41782483674.19,9455658.0,1.21,71.371,21.705,6.143566552,0.627619057
Dominican Republic,2013,65.4,Egg and/or flesh foods consumption (6-23months),Female,6098.905037,59709859337.24,10193833.0,1.72,72.713,21.166,4.830950967,0.611824773
Dominican Republic,2014,69.9,Egg and/or flesh foods consumption (6-23months),Female,6451.882897,63932555677.28,10315528.0,1.53,72.867,20.867,2.998642261,0.651437856
Dominican Republic,2019,66.0,Egg and/or flesh foods consumption (6-23months),Female,8195.983206,84872472558.56,10894043.0,1.25,73.577,19.291,1.81060377,0.689583055
Dominican Republic,2007,73.8,Egg and/or flesh foods consumption (6-23months),Male,5243.057076,41782483674.19,9455658.0,1.21,71.371,21.705,6.143566552,0.627619057
Dominican Republic,2013,67.5,Egg and/or flesh foods consumption (6-23months),Male,6098.905037,59709859337.24,10193833.0,1.72,72.713,21.166,4.830950967,0.611824773
